[framework] 2017-08-08 11:33:57,622  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [123022] | --------------searchArticleForContentText7 Start-----------
[framework] 2017-08-08 11:33:57,627  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [123027] | pageName is:tab栏
[framework] 2017-08-08 11:33:59,668  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [125068] | pageName is:firstPage
[framework] 2017-08-08 11:34:00,993  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [126393] | pageName is:searchPage
[framework] 2017-08-08 11:34:07,939  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [133339] | pageName is:searchPage
[framework] 2017-08-08 11:34:12,071  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [137471] | pageName is:searchPage
[framework] 2017-08-08 11:34:17,350  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [142750] | pageName is:commonButton
[framework] 2017-08-08 11:34:17,568  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [142968] | pageName is:searchPage
[framework] 2017-08-08 11:34:21,326  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [146726] | searchArticleForContentText7Test Success√√√√√√√√√√
[framework] 2017-08-08 11:34:21,329  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [146729] | --------------searchArticleForContentText8 Start-----------
[framework] 2017-08-08 11:34:21,334  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [146734] | pageName is:tab栏
[framework] 2017-08-08 11:34:23,366  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [148766] | pageName is:firstPage
[framework] 2017-08-08 11:34:24,540  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [149940] | pageName is:searchPage
[framework] 2017-08-08 11:34:30,503  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [155903] | pageName is:searchPage
[framework] 2017-08-08 11:34:34,091  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [159491] | pageName is:searchPage
[framework] 2017-08-08 11:34:39,677  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [165077] | pageName is:commonButton
[framework] 2017-08-08 11:34:39,901  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [165301] | pageName is:searchPage
[framework] 2017-08-08 11:34:43,658  [INFO]  com.basic.TestNGListener.onTestSuccess(TestNGListener.java:27)  [169058] | searchArticleForContentText8Test Success√√√√√√√√√√
[framework] 2017-08-08 11:34:43,673  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [169073] | --------------searchArticleForContentText9 Start-----------
[framework] 2017-08-08 11:34:43,678  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [169078] | pageName is:tab栏
[framework] 2017-08-08 11:34:45,706  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [171106] | pageName is:firstPage
[framework] 2017-08-08 11:34:47,582  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [172982] | pageName is:searchPage
[framework] 2017-08-08 11:34:53,968  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [179368] | pageName is:searchPage
[framework] 2017-08-08 11:34:57,753  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [183153] | pageName is:searchPage
[framework] 2017-08-08 11:35:00,485  [INFO]  com.basic.TestNGRetry.retry(TestNGRetry.java:22)  [185885] | running retry for  'searchArticleForContentText9' on class com.basic.TestNGRetry Retrying 0 times
[framework] 2017-08-08 11:35:00,486  [ERROR]  com.basic.TestNGListener.onTestSkipped(TestNGListener.java:41)  [185886] | searchArticleForContentText9Test Skipped
[framework] 2017-08-08 11:35:09,112  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [194512] | --------------searchArticleForContentText9 Start-----------
[framework] 2017-08-08 11:35:09,116  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [194516] | pageName is:tab栏
[framework] 2017-08-08 11:35:15,046  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [200446] | pageName is:firstPage
[framework] 2017-08-08 11:35:16,950  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [202350] | pageName is:searchPage
[framework] 2017-08-08 11:35:22,071  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [207471] | pageName is:searchPage
[framework] 2017-08-08 11:35:25,846  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [211246] | pageName is:searchPage
[framework] 2017-08-08 11:35:28,174  [INFO]  com.basic.TestNGRetry.retry(TestNGRetry.java:22)  [213574] | running retry for  'searchArticleForContentText9' on class com.basic.TestNGRetry Retrying 1 times
[framework] 2017-08-08 11:35:28,174  [ERROR]  com.basic.TestNGListener.onTestSkipped(TestNGListener.java:41)  [213574] | searchArticleForContentText9Test Skipped
[framework] 2017-08-08 11:35:36,502  [INFO]  com.basic.TestNGListener.onTestStart(TestNGListener.java:49)  [221902] | --------------searchArticleForContentText9 Start-----------
[framework] 2017-08-08 11:35:36,508  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [221908] | pageName is:tab栏
[framework] 2017-08-08 11:35:42,039  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [227439] | pageName is:firstPage
[framework] 2017-08-08 11:35:43,966  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [229366] | pageName is:searchPage
[framework] 2017-08-08 11:35:49,327  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [234727] | pageName is:searchPage
[framework] 2017-08-08 11:35:53,457  [INFO]  com.basic.XmlUtils.readXMLDocument(XmlUtils.java:43)  [238857] | pageName is:searchPage
